Genotype,Yield - 2021 LA1,Plant Height - 2021 LA1,Yield - 2021 LA2,Plant Height - 2021 LA2,Yield - 2022 LA1,Plant Height - 2022 LA1,Yield - 2022 LA2,Plant Height - 2022 LA2,Yield - 2021 AR,Plant Height - 2021 AR,Yield - 2022 AR,Plant Height - 2022 AR,Mean Yield - Across LA & AR,Mean Plant Height - Across LA & AR
MP8_012,8460.202117,91.1828606,8077.432887,99.821557,10046.30675,93.85360982,8752.856406,88.44545379,10164.65606,98.86470914,9311.182514,96.14134783,9167.946172,94.82784548
MP8_027,9007.754488,100.2229463,7553.692564,94.76566804,,,,,10706.76632,93.89630365,,,8885.73674,95.43855936
MP8_038,9101.641501,100.9028688,8298.168098,102.3452779,,,,,,,,,8732.411025,101.7607708
MP8_041,8308.954815,95.40583877,7959.558689,95.56990863,9402.065241,96.86952973,8263.692906,92.77899403,9675.349314,96.47701077,8450.257923,105.5346704,8709.152383,97.22820566
MP8_053,8506.2098,100.2200274,8915.656601,106.5471279,8129.576305,93.99657704,7527.475499,89.79485817,10329.37574,103.3664478,9360.745377,104.7140053,8827.339762,99.89286093
MP8_066,7922.753351,89.68048712,8219.146241,88.46283872,,,,,,,,,8103.456021,89.20836037
MP8_104,9641.547449,93.70539148,8898.87122,103.910223,9526.869748,91.05778704,8625.803491,91.39912087,9966.944102,95.90466755,9481.271012,98.27675143,9389.384946,95.87608302
MP8_109,8847.979986,98.36396308,8281.465261,100.4486652,,,,,10005.59179,98.34838943,,,8841.333512,98.19721414
MP8_127,8026.174148,95.28836173,7178.327182,101.1833561,,,,,9262.043612,98.98887711,,,7951.848622,97.63041168
MP8_142,8133.991482,96.1121574,8293.832213,98.34118564,,,,,9090.950354,100.587731,,,8302.588585,97.49065344
MP8_154,7033.369529,91.54160749,7597.329322,99.42461044,7946.376471,89.15932707,7408.130203,86.7515578,9335.571877,93.16634569,8401.845912,101.990223,7986.279827,93.77619895
MP8_159,8712.802309,90.36761292,8907.756095,92.99236086,9292.956392,93.83074434,8886.125239,87.57431759,9989.444572,93.33779869,8822.606476,97.73453605,9134.456211,92.82625389
MP8_167,9078.022823,103.1742585,8359.473421,113.9841066,,,,,9630.73975,102.3647578,,,8819.082603,105.651195
MP8_188,7844.641667,93.77668157,8220.590001,102.1191421,,,,,,,,,8065.122059,98.08460928
MP8_207,7331.430565,99.00447168,7565.562368,105.1042897,,,,,,,,,7481.002692,102.1910781
MP8_220,9461.306435,90.64340101,8641.84786,102.3120563,,,,,9842.977128,98.34372363,,,9111.699667,96.24324683
MP8_224,9010.18658,95.98139696,8834.618754,105.125764,9329.774869,95.92907466,8130.728546,91.70570117,,,8544.706867,99.13314232,8944.211936,98.28888308
MP8_274,9121.319884,87.64781603,8054.399209,89.16911213,8627.24547,95.65055292,8639.675403,80.82805279,,,8026.651634,87.68274922,8668.069344,88.96341063
MP8_277,9156.407613,93.85252596,8246.373646,98.98008293,,,,,9789.633914,96.13144616,,,8860.482178,95.46491811
MP8_298,8072.347268,90.76261213,8275.014008,101.2620098,,,,,9862.227305,95.47322773,,,8532.865561,94.97608095
MP8_344,7442.676495,95.74330742,6847.122868,107.9267057,,,,,,,,,7177.405907,101.971704
MP8_350,9618.570967,101.1000016,7130.062589,106.8666502,,,,,9524.079196,102.0491084,,,8553.926136,102.482183
MP8_369,9643.663753,97.65834525,9233.233755,109.9144895,10111.58655,96.24482162,9439.177311,95.98389869,10904.67935,103.2706542,8758.112265,110.0460445,9714.252885,102.3388317
MP8_382,7944.275551,96.76348651,7786.960812,102.3510504,8059.931724,92.41738407,7747.353949,90.24633271,10242.75498,100.9520585,8076.611482,104.2043149,8342.163407,97.94125598
